2017/12/02 14:28:32.20: internet is not connected
2017/12/02 14:28:32.21: internet is not connected
2017/12/02 14:28:32.22: internet is not connected
2017/12/02 14:28:32.23: internet is not connected
2017/12/02 14:28:32.23: internet is not connected
2017/12/02 14:28:32.24: internet is not connected
2017/12/02 14:28:32.25: internet is not connected
2017/12/02 14:28:32.25: internet is not connected
2017/12/02 14:28:32.26: internet is not connected
2017/12/02 14:28:32.27: internet is not connected
2017/12/02 14:28:32.28: internet is not connected
2017/12/02 14:28:32.28: internet is not connected
2017/12/02 14:28:32.29: internet is not connected
2017/12/02 14:28:32.30: internet is not connected
2017/12/02 14:28:32.30: internet is not connected
2017/12/02 14:28:32.31: internet is not connected
2017/12/02 14:28:32.32: internet is not connected
2017/12/02 14:28:32.32: internet is not connected
2017/12/02 14:28:32.33: internet is not connected
2017/12/02 14:28:32.34: internet is not connected
2017/12/02 14:28:32.35: internet is not connected
2017/12/02 14:28:32.35: internet is not connected
2017/12/02 14:28:32.36: internet is not connected
2017/12/02 14:28:32.37: internet is not connected
2017/12/02 14:28:32.37: internet is not connected
2017/12/02 14:28:32.38: internet is not connected
2017/12/02 14:28:32.38: internet is not connected
2017/12/02 14:28:32.39: internet is not connected
2017/12/02 14:28:32.40: internet is not connected
2017/12/02 14:28:32.40: internet is not connected
2017/12/02 14:28:32.41: internet is not connected
2017/12/02 14:28:32.41: internet is not connected
2017/12/02 14:28:32.42: internet is not connected
2017/12/02 14:28:32.43: internet is not connected
2017/12/02 14:28:32.43: internet is not connected
2017/12/02 14:28:32.44: internet is not connected
2017/12/02 14:28:32.45: internet is not connected
2017/12/02 14:28:32.45: internet is not connected
2017/12/02 14:28:32.46: internet is not connected
2017/12/02 14:28:32.47: internet is not connected
2017/12/02 14:28:32.47: internet is not connected
2017/12/02 14:28:32.48: internet is not connected
2017/12/02 14:28:32.48: internet is not connected
2017/12/02 14:28:32.49: internet is not connected
2017/12/02 14:28:32.50: internet is not connected
2017/12/02 14:28:32.50: internet is not connected
2017/12/02 14:28:32.51: internet is not connected
2017/12/02 14:28:32.52: internet is not connected
2017/12/02 14:28:32.52: internet is not connected
2017/12/02 14:28:32.53: internet is not connected
2017/12/02 14:28:32.53: internet is not connected
2017/12/02 14:28:32.54: internet is not connected
2017/12/02 14:28:32.55: internet is not connected
2017/12/02 14:28:32.55: internet is not connected
2017/12/02 14:28:32.56: internet is not connected
2017/12/02 14:28:32.57: internet is not connected
2017/12/02 14:28:32.57: internet is not connected
2017/12/02 14:28:32.58: internet is not connected
2017/12/02 14:28:32.59: internet is not connected
2017/12/02 14:28:32.59: internet is not connected
2017/12/02 14:28:32.60: internet is not connected
2017/12/02 14:28:32.60: internet is not connected
2017/12/02 14:28:32.61: internet is not connected
2017/12/02 14:28:32.62: internet is not connected
2017/12/02 14:28:32.62: internet is not connected
2017/12/02 14:28:32.63: internet is not connected
2017/12/02 14:28:32.64: internet is not connected
2017/12/02 14:28:32.64: internet is not connected
2017/12/02 14:28:32.65: internet is not connected
2017/12/02 14:28:32.66: internet is not connected
2017/12/02 14:28:32.66: internet is not connected
2017/12/02 14:28:32.67: internet is not connected
2017/12/02 14:28:32.67: internet is not connected
2017/12/02 14:28:32.68: internet is not connected
2017/12/02 14:28:32.69: internet is not connected
2017/12/02 14:28:32.69: internet is not connected
2017/12/02 14:28:32.70: internet is not connected
2017/12/02 14:28:32.70: internet is not connected
2017/12/02 14:28:32.71: internet is not connected
2017/12/02 14:28:32.72: internet is not connected
2017/12/02 14:28:32.72: internet is not connected
2017/12/02 14:28:32.73: internet is not connected
2017/12/02 14:28:32.74: internet is not connected
2017/12/02 14:28:32.74: internet is not connected
2017/12/02 14:28:32.75: internet is not connected
2017/12/02 14:28:32.76: internet is not connected
2017/12/02 14:28:32.76: internet is not connected
2017/12/02 14:28:32.77: internet is not connected
2017/12/02 14:28:32.78: internet is not connected
2017/12/02 14:28:32.78: internet is not connected
2017/12/02 14:28:32.79: internet is not connected
2017/12/02 14:28:32.80: internet is not connected
2017/12/02 14:28:32.80: internet is not connected
2017/12/02 14:28:32.81: internet is not connected
